Wall time,Step,Value
1743549866.299368,10373120,-76.24111938476562
1743549875.043916,10393600,-73.50228881835938
1743549883.7220511,10414080,-71.97624969482422
1743549892.447201,10434560,-69.54700469970703
1743549901.163575,10455040,-72.08423614501953
1743549909.92183,10475520,-72.81888580322266
1743549918.527377,10496000,-78.73914337158203
1743549927.3035011,10516480,-85.53968048095703
1743549935.9933739,10536960,-86.36296844482422
1743549944.7337012,10557440,-87.8121109008789
1743549953.520463,10577920,-87.8796615600586
1743549962.412926,10598400,-88.5708236694336
1743549971.09566,10618880,-90.1128921508789
1743549979.714012,10639360,-90.15852355957031
1743549988.5774589,10659840,-91.73458099365234
1743549997.239756,10680320,-91.3347396850586
1743550005.917911,10700800,-90.28494262695312
1743550014.657558,10721280,-86.19933319091797
1743550023.339919,10741760,-83.88676452636719
1743550032.0981,10762240,-84.86637115478516
1743550040.8331468,10782720,-86.10081481933594
1743550049.559524,10803200,-89.2079086303711
1743550058.234006,10823680,-88.19133758544922
1743550066.8939571,10844160,-86.15985870361328
1743550075.618489,10864640,-78.85591125488281
1743550084.3736708,10885120,-72.38064575195312
1743550093.1264892,10905600,-74.50381469726562
1743550101.7653399,10926080,-74.92668914794922
1743550110.539505,10946560,-81.3118896484375
1743550119.241714,10967040,-89.9997329711914
1743550128.0229812,10987520,-93.18399810791016
1743550136.726871,11008000,-90.56937408447266
1743550145.473373,11028480,-91.25025177001953
1743550154.2472389,11048960,-93.3143310546875
1743550163.045099,11069440,-94.78578186035156
1743550171.870375,11089920,-102.11018371582031
1743550180.6168058,11110400,-106.17932891845703
1743550189.323549,11130880,-104.5895004272461
1743550198.0488372,11151360,-102.55134582519531
1743550206.7942379,11171840,-98.27946472167969
1743550215.494503,11192320,-95.79234313964844
1743550224.232948,11212800,-99.71890258789062
1743550233.0503051,11233280,-100.9439697265625
1743550241.805538,11253760,-101.9129638671875
1743550250.635912,11274240,-98.07730865478516
1743550259.363911,11294720,-97.11309814453125
1743550268.037351,11315200,-95.59654998779297
1743550276.703352,11335680,-95.83885955810547
1743550285.459848,11356160,-96.12053680419922
1743550294.162723,11376640,-97.96802520751953
1743550303.1184618,11397120,-97.59245300292969
1743550311.832924,11417600,-91.77620697021484
1743550320.5276642,11438080,-89.0400161743164
1743550329.206066,11458560,-89.87079620361328
1743550337.937089,11479040,-89.03296661376953
1743550346.711672,11499520,-90.5084228515625
1743550355.469996,11520000,-90.48590087890625
1743550364.193886,11540480,-94.66053771972656
1743550372.952499,11560960,-98.32894897460938
1743550381.647891,11581440,-94.16234588623047
1743550390.528863,11601920,-95.7171859741211
1743550399.150752,11622400,-92.64439392089844
1743550407.958976,11642880,-89.39215850830078
1743550416.696694,11663360,-86.48270416259766
1743550425.369982,11683840,-83.1991195678711
1743550434.0991518,11704320,-82.6020736694336
1743550442.7859619,11724800,-80.01387786865234
1743550451.5527492,11745280,-78.44554138183594
1743550460.327811,11765760,-80.33207702636719
1743550469.114458,11786240,-81.56663513183594
1743550477.920619,11806720,-82.28602600097656
1743550486.676556,11827200,-87.05545043945312
1743550495.4183638,11847680,-88.99250793457031
1743550504.140993,11868160,-92.4885025024414
1743550512.894093,11888640,-95.91651916503906
1743550521.6926222,11909120,-100.95800018310547
1743550530.523093,11929600,-104.63324737548828
1743550539.259499,11950080,-105.15226745605469
1743550548.085949,11970560,-103.81228637695312
1743550556.758202,11991040,-101.65686798095703
1743550574.826151,12025856,-95.92378997802734
1743550584.2160268,12046336,-100.04812622070312
1743550594.76679,12066816,-106.36085510253906
1743550603.890553,12087296,-107.76194763183594
1743550613.220893,12107776,-110.54082489013672
1743550622.3321888,12128256,-113.02893829345703
1743550631.391693,12148736,-105.76847839355469
1743550640.3391922,12169216,-103.35978698730469
1743550649.093714,12189696,-99.92507934570312
1743550657.8012328,12210176,-102.86468505859375
1743550666.5299158,12230656,-101.59212493896484
1743550675.2814562,12251136,-104.08480834960938
1743550683.935405,12271616,-106.30934143066406
1743550692.683208,12292096,-112.19822692871094
1743550701.381706,12312576,-112.66633605957031
1743550710.127732,12333056,-112.41465759277344
1743550718.646674,12353536,-114.7540512084961
1743550727.477039,12374016,-115.2767333984375
1743550736.082697,12394496,-111.3963851928711
1743550744.813332,12414976,-116.57103729248047
1743550753.431496,12435456,-115.09156036376953
1743550762.1959932,12455936,-110.76949310302734
1743550770.9645839,12476416,-113.03069305419922
1743550779.652297,12496896,-109.04914093017578
1743550788.340064,12517376,-109.594482421875
1743550797.152182,12537856,-108.47330474853516
1743550805.88418,12558336,-106.4479751586914
1743550814.5012548,12578816,-104.44204711914062
1743550823.217369,12599296,-106.55947875976562
1743550832.006746,12619776,-104.58289337158203
1743550840.779912,12640256,-100.95259094238281
1743550849.552586,12660736,-95.9361801147461
1743550858.2730508,12681216,-101.70189666748047
1743550866.964174,12701696,-102.010009765625
1743550875.6645062,12722176,-105.4965591430664
1743550884.3846889,12742656,-111.69117736816406
1743550893.117794,12763136,-111.22453308105469
1743550901.991199,12783616,-107.46060943603516
1743550910.697147,12804096,-107.5438461303711
1743550919.3164082,12824576,-106.06572723388672
1743550928.018241,12845056,-102.20875549316406
1743550936.602371,12865536,-105.1968994140625
1743550945.3067782,12886016,-106.97361755371094
1743550954.0366359,12906496,-107.84528350830078
1743550962.7501829,12926976,-108.40584564208984
1743550971.411936,12947456,-110.81466674804688
1743550980.1659908,12967936,-109.80829620361328
1743550988.966395,12988416,-113.14199829101562
1743550997.6819048,13008896,-115.75162506103516
1743551006.3670049,13029376,-114.25411224365234
