V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.35,0.011,16,243,,,,,,,,
0.36,0.01,15,306,309,310,,,0.53,0.47,,
0.42,0.011,16,309,,,,,,,,
0.37,0.009,16,310,,,,,,,,
0.25,0.013,12,282,289,311,,,0.59,0.41,,
0.27,0.012,13,289,273,289,,,0.38,0.62,,
0.26,0.012,14,273,236,,,,1.0,,,
0.26,0.01,15,236,234,312,,,0.5,0.5,,
0.28,0.009,16,234,,,,,,,,
0.29,0.009,16,312,,,,,,,,
0.27,0.012,14,289,266,,,,1.0,,,
0.27,0.013,15,266,287,313,313,,0.49,0.18,0.33,
0.29,0.012,16,287,,,,,,,,
0.25,0.012,16,313,,,,,,,,
0.25,0.012,16,313,,,,,,,,
0.26,0.011,13,311,314,299,,,0.69,0.31,,
0.26,0.009,14,314,315,,,,1.0,,,
0.28,0.007,15,315,316,317,,,0.83,0.17,,
0.27,0.006,16,316,,,,,,,,
0.31,0.006,16,317,,,,,,,,
0.27,0.011,14,299,223,225,287,,0.44,0.49,0.07,
0.3,0.011,15,223,235,221,,,0.45,0.55,,
0.33,0.009,16,235,,,,,,,,
0.29,0.01,16,221,,,,,,,,
0.27,0.01,15,225,318,236,,,0.54,0.46,,
0.31,0.008,16,318,,,,,,,,
0.26,0.01,16,236,,,,,,,,
0.29,0.012,15,287,319,,,,1.0,,,
0.29,0.013,16,319,,,,,,,,
0.29,0.022,7,11,320,,,,1.0,,,
0.31,0.018,8,320,88,321,58,,0.47,0.04,0.49,
0.38,0.019,9,88,51,126,,,0.46,0.54,,
0.43,0.017,10,51,87,132,,,0.5,0.5,,
0.41,0.015,11,87,295,77,,,0.45,0.55,,
0.39,0.014,12,295,114,284,110,,0.69,0.28,0.03,
0.39,0.013,13,114,250,,,,1.0,,,
0.4,0.015,14,250,280,,,,1.0,,,
0.38,0.015,15,280,47,,,,1.0,,,
0.42,0.016,16,47,,,,,,,,
